15
15
CHARIZARD
HFHJKIWEAFOSDJFKSDLJFASDKL
SANDSHREW
X B R B D D M R T R E U D S P
T A A D H V V N W E S E K E K
Q H X O W J A R Q A P Q G A K
Z Q D F D R J X D V A C V J T
H F M J H E S J I W U W R A Y
Q Q G F P H D F R A B E V C O
G F B N P X R W O W F R N T I
A V K Z L U A I G D C H H P G
W K R G V I Z B L V O S Z D R
L U Z Y B P I G X F J D I G E
U C R D V O R D I Y D N U B A
W L S X G F A G N S F A T M Q
U T U V G G H M P S L S G B L
S Z T V M T C P U S K O Q Y O
K J U Q Z A O V A U O G T F X
