11
1
School_A 1 50
3
School_X 2 100
School_Y 2 40
School_Z 2 60
4
Alpha 1 30
Beta 1 20
Gamma 2 50
Delta 2 40
5
A 1 100
B 2 100
C 3 100
D 4 100
E 5 100
4
X 2 200
Y 1 100
Z 1 50
W 2 150
3
Null_School 2 0
Empty_School 1 0
Zero_Profit 3 0
10
S1 10 10
S2 9 20
S3 8 30
S4 7 40
S5 6 50
S6 5 60
S7 4 70
S8 3 80
S9 2 90
S10 1 100
3
School 3 50
School 2 60
School 1 100
4
A 3 100
B 2 200
C 1 150
D 2 50
2
First_School 1 300
Second_School 1 100
100
Alpha_1 10 150
Beta_2 5 100
Gamma_3 8 200
Delta_4 3 300
Epsilon_5 2 50
Zeta_6 1 250
Eta_7 7 100
Theta_8 4 150
Iota_9 6 180
Kappa_10 9 130
Lambda_11 5 75
Mu_12 4 120
Nu_13 2 220
Xi_14 1 90
Omicron_15 3 250
Pi_16 2 30
Rho_17 8 350
Sigma_18 6 110
Tau_19 7 140
Upsilon_20 9 175
Phi_21 10 320
Chi_22 2 60
Psi_23 5 125
Omega_24 3 200
Alpha_25 4 90
Beta_26 6 80
Gamma_27 8 170
Delta_28 10 210
Epsilon_29 1 100
Zeta_30 9 260
Eta_31 2 40
Theta_32 5 140
Iota_33 3 300
Kappa_34 7 190
Lambda_35 4 170
Mu_36 1 50
Nu_37 6 95
Xi_38 8 280
Omicron_39 9 210
Pi_40 2 180
Rho_41 4 135
Sigma_42 10 360
Tau_43 3 250
Upsilon_44 7 150
Phi_45 5 130
Chi_46 2 60
Psi_47 1 300
Omega_48 8 275
Alpha_49 6 220
Beta_50 4 110
Gamma_51 3 230
Delta_52 5 100
Epsilon_53 7 180
Zeta_54 9 200
Eta_55 10 400
Theta_56 2 80
Iota_57 1 30
Kappa_58 3 260
Lambda_59 8 140
Mu_60 7 210
Nu_61 9 125
Xi_62 4 95
Omicron_63 5 150
Pi_64 6 180
Rho_65 1 70
Sigma_66 2 85
Tau_67 3 330
Upsilon_68 10 190
Phi_69 9 290
Chi_70 8 240
Psi_71 7 60
Omega_72 6 130
Alpha_73 5 120
Beta_74 4 250
Gamma_75 3 180
Delta_76 2 110
Epsilon_77 1 200
Zeta_78 9 275
Eta_79 10 220
Theta_80 6 90
Iota_81 8 310
Kappa_82 7 300
Lambda_83 5 50
Mu_84 2 400
Nu_85 4 170
Xi_86 3 190
Omicron_87 6 280
Pi_88 8 350
Rho_89 7 95
Sigma_90 10 390
Tau_91 9 220
Upsilon_92 5 140
Phi_93 3 270
Chi_94 2 160
Psi_95 4 100
Omega_96 8 230
Alpha_97 1 80
Beta_98 6 260
Gamma_99 10 360
Delta_100 7 190
