8
1 16 31 46 61
2 17 32 47 62
3 18 FS 48 63
4 19 34 49 64
5 20 35 50 65
B12 I18 G48 O68 O63 B9 B3
1 19 35 47 63
12 21 41 46 73
7 16 FS 59 61
14 29 34 55 70
2 30 40 60 68
I21 B14 B2 B9 I24 G55 G54 O74 O62
15 18 31 47 61
14 21 44 59 70
10 26 FS 55 74
5 29 40 50 63
9 17 33 49 67
B10 I26 N44 G49 O62 I21 B15 N50 O67
15 18 31 47 61
14 21 44 59 70
10 26 FS 55 74
5 29 40 50 63
9 17 33 49 67
B10 I26 N44 G49 O62 I21 B15 N50 O67 B12
15 18 31 47 61
14 21 44 59 70
10 26 FS 55 74
5 29 40 50 63
9 17 33 49 67
B9 I29 N44 G49 O62 N59 B15 N50 O67 B12 O61
15 18 31 47 61
14 21 41 60 70
10 26 FS 55 74
5 30 40 50 63
9 17 33 49 69
B9 I29 N31 G49 O62 N53 B15 N40 O67 B12 O61 N33 N41
1 19 35 47 63
12 21 41 46 73
7 16 FS 59 61
14 29 34 55 70
2 30 40 60 68
B12 I19 N35 G47 I21 O70 N16 N 17 N29 N30
1 19 35 47 63
12 21 41 46 73
7 16 FS 59 61
14 29 34 55 70
2 30 40 60 68
B12 B14 N35 G47 I21 O70 N16 N 17 N29 N30
