Selection Sort      :Bubble Sort         
a                   :a                   
aaron               :aaron               
b                   :b                   
bigilow             :bigilow             
blue                :blue                
c                   :c                   
canary              :canary              
canton              :canton              
crown               :crown               
detroit             :detroit             
one                 :one
two                 :two
horse               :horse
house               :house
habitat             :habitat
hunday              :hunday
gmc                 :gmc
uilproblems         :eightenn
hairstudio          :uilproblems
eleven              :hairstudio
hairdo              :eleven
eightenn            :hairdo
hillary             :g
houwdy              :h
z                   :hillary
g                   :houwdy
h                   :k
k                   :l
l                   :m
m                   :z
