10
ABCDE L
ABCDE R
AB LLL
sswzibsegmrvplkqmlbnzjfmdnbzvivn RLLLRLLRRLRRRLLRRLLRRLRLLLRLRLLLLLRLLLRRRRLLLLLRRLRLLLRLLRRLRLLRRLRLR
ioqsfktdljctzzihbgjaxllsqd LLRLRLLLRLLLLLLRRLRRRLRRLLLR
zptnfidjoqdpjyrdqrnpghufinamguqtbdzmhknutcriagwuvxnjdyjjikcqpqwdirgpwe LLLLRLRRLRRLLLRRLLRLLLLLRRRRLLLLRRLLRRLRLRLRRLLLLLRRRLRLRLLLLLRLRRRLLRRRLLLRRLLLLRRLRRRLRRLRR
krblmjodj RLRLLRRRRLLRLLRLLR
dzyippbxinffobwhebdxybawewyyui RLLLRLRRLRLRRRLLRLLRLRLLRLLRRRRLLRLRRRRLRLLRRRLLLLRLLRLLRRLRLLRLRLRLRRRRLLLLRRLR
hopvxjplhhhiw LLRLRLRRLRRRRRLRRRRLLRLLRLLLLLLLRLLRRRRLLLRLLLLRLLRRLLLRLLRRRRLLLLLLLRRLRRLRRLLRLL
tvzdiofnvfsolpfxylqiebisbsggtynqnhsryqrmuhmvgkukfrypibgexzjkgtvztnwzumplxzdnohmp LRLRRLRRLLLRLRLRRRLRLLRLRLRRRRLRRLLRRLRRLRLRLLRRLLRLRLLLLRRRLRRRLLRRRLRRLLLLRRRRRLRRRRRRRRLRLRRL
